uid,nombre_de_la_entidad,departamento_entidad,municipio_entidad,nivel_entidad,orden_entidad,tipo_de_proceso,objeto_a_contratar,nombre_familia,id_familia,detalle_objeto,cuantia_proceso,cuantia_contrato,valor_total_de_adiciones,valor_contrato_con_adiciones,anno_firma,fecha_fima,fecha_ini_ejec_contrato,plazo_de_ejec_del_contrato,rango_de_ejec_del_contrato,tiempo_adiciones_en_dias,tiempo_adiciones_en_meses,fecha_fin_ejec_contrato
18-21-146-7279504,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN ROQUE,Antioquia,San Roque,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación obra pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN SISTEMA DE PRETRATAMIENTO DE AGUAS RESIDUALES ZONA URBANA - MUNICIPIO DE SAN ROQUE  ANTIOQUIA  EN EL MARCO DEL CONVENIO 647 DE 2017  SUSCRITO CON CORNARE,251378732,250618770,123195853,373814623,2018.0,03/17/2018,03/23/2018,5,M,40,0,10/02/2018
15-1-142887-3840639,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE GUATAVITA,Cundinamarca,Guatavita,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,¿CONSTRUCCION DE PLACA HUELLA EN EL SECTOR DIVINO NIÑO SOBRE LA VIA QUE COMUNICA EL CASCO URBANO Y MONTECILLO DEL MUNICIPIO DE GUATAVITA SEGÚN CONVENIO ICCU 233/2015¿,186000000,185999928,0,185999928,2015.0,08/14/2015,08/25/2015,4,M,0,0,12/25/2015
17-1-181518-6780802,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE ABREGO,Norte De Santander,Abrego,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 3,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,REHABILITACIÓN VIAL EN PAVIMENTO RIGIDO DE LA CARRERA 4 ENTRE CALLES 12 - 13 Y 14-18 DEL BARRIO SANTA BARBARA EN EL MUNICIPIO DE ABREGO  NORTE DE SANTANDER,1100788678,1100677110,0,1100677110,2017.0,12/11/2017,12/28/2017,4,M,0,0,04/28/2018
16-1-160011-5056092,GUAINÍA - GOBERNACIÓN,Guainía,Inírida,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO Y PAVIMENTACION DE LA VIA INIRIDA - SABANITAS SEGUNDA FASE  EN EL MUNICIPIO DE INIRIDA DEPARTAMENTO DE GUAINIA,2228773585,2199154363,100654216,2299808579,2016.0,08/16/2016,08/25/2016,5,M,40,2,05/04/2017
15-1-140123-3875195,CASANARE - GOBERNACIÓN,Casanare,Yopal,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN PAVIMENTACIÓN Y OBRAS COMPLEMENTARIAS DE LA VÍA YOPAL MATEPANTANO EL VENADO EN EL MUNICIPIO DE YOPAL DEPARTAMENTO DE CASANARE,37615479663,37615479663,6662104538,44277584201,2015.0,08/14/2015,08/14/2015,5,M,0,3,04/14/2016
15-1-153188-4825976,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE PASCA,Cundinamarca,Pasca,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCION PLACA HUELLA ZONA OCCIDENTAL DEL MUNICIPIO DE PASCA,203741057,203741057,38366055,242107112,2015.0,12/30/2015,01/04/2016,3,M,15,2,06/19/2016
17-1-183406-7116479,ANTIOQUIA - ALCALDÍA MUNICIPIO DE GRANADA,Antioquia,Granada,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,Reposición de la carpeta de rodadura de las vías perimetrales del parque principal del municipio de Granada,404570214,387341163,61209415,448550578,2018.0,01/24/2018,01/24/2018,4,M,0,0,05/24/2018
15-1-146607-4057292,AGENCIA PARA LA INFRAESTRUCTURA DEL META - AIM,Meta,Villavicencio,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO DE VÍAS URBANAS EN PAVIMENTO RÍGIDO  PARQUE CENTRAL Y VILLA OLÍMPICA EN EL MUNICIPIO DE FUENTEDEORO  META. ORINOQUIA.,22756179695,22750723411,0,22750723411,2015.0,10/30/2015,03/07/2016,10,M,0,2,03/07/2017
14-1-129464-4157764,META - ALCALDÍA MUNICIPIO DE EL CASTILLO,Meta,El Castillo,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MANTENIMIENTO REHABILITACION Y MEJORAMIENTO DE PUENTES COLGANTES EN EL MUNICIPIO DE EL CASTILLO META,242329051,241749831,0,241749831,2014.0,12/18/2014,02/05/2015,3,M,0,0,05/05/2015
16-1-161975-5289994,INSTITUTO NACIONAL DE VÍAS (INVIAS),Bogotá D.C.,Bogotá D.C.,NACIONAL,NACIONAL CENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MANTENIMIENTO RUTINARIO VIAS A CARGO DEL INSTITUTO NACIONAL DE VIAS DIRECCIÓN TERRITORIAL CAQUETA,7028052185,569936229,146601146,716537375,2016.0,10/21/2016,11/03/2016,18,M,0,5,10/03/2018
